disco,date,band,billing_naira
IBEDC,01/11/2020,band_e,1539421949
IBEDC,01/12/2020,lifeline,41740206.1
IBEDC,01/12/2020,band_a,4009443468
IBEDC,01/12/2020,band_b,2700841898
IBEDC,01/12/2020,band_c,2275726189
IBEDC,01/12/2020,band_d,2091122594
IBEDC,01/12/2020,band_e,1753484124
IBEDC,01/01/2021,lifeline,47955465.79
IBEDC,01/01/2021,band_a,4204216757
IBEDC,01/01/2021,band_b,2608612206
IBEDC,01/01/2021,band_c,2376994001
IBEDC,01/01/2021,band_d,2188783124
IBEDC,01/01/2021,band_e,1782262597
IBEDC,01/02/2021,lifeline,91628214.61
IBEDC,01/02/2021,band_a,4363024204
IBEDC,01/02/2021,band_b,2229956250
IBEDC,01/02/2021,band_c,2068938721
IBEDC,01/02/2021,band_d,2077133562
IBEDC,01/02/2021,band_e,1516067761
IBEDC,01/03/2021,lifeline,10632680.18
IBEDC,01/03/2021,band_a,4400174640
IBEDC,01/03/2021,band_b,2248569973
IBEDC,01/03/2021,band_c,2020690648
IBEDC,01/03/2021,band_d,2046205652
IBEDC,01/03/2021,band_e,1489052237
IBEDC,01/04/2021,lifeline,18542202.91
IBEDC,01/04/2021,band_a,4405877730
IBEDC,01/04/2021,band_b,2297682491
IBEDC,01/04/2021,band_c,1968289669
IBEDC,01/04/2021,band_d,1881109177
IBEDC,01/04/2021,band_e,1419345165
IBEDC,01/05/2021,lifeline,8591099.743
IBEDC,01/05/2021,band_a,3832716099
IBEDC,01/05/2021,band_b,1337489814
IBEDC,01/05/2021,band_c,2696089611
IBEDC,01/05/2021,band_d,1196316587
IBEDC,01/05/2021,band_e,1005939585
IBEDC,01/06/2021,lifeline,13133050.46
IBEDC,01/06/2021,band_a,3769786863
IBEDC,01/06/2021,band_b,1607443286
IBEDC,01/06/2021,band_c,1463856713
IBEDC,01/06/2021,band_d,1195927274
IBEDC,01/06/2021,band_e,857685596.9
IBEDC,01/07/2021,lifeline,13754463.8
IBEDC,01/07/2021,band_a,4198845063
IBEDC,01/07/2021,band_b,1880264347
IBEDC,01/07/2021,band_c,1788003427
IBEDC,01/07/2021,band_d,1516671089
IBEDC,01/07/2021,band_e,1224754733
IBEDC,01/08/2021,lifeline,16625312.28
IBEDC,01/08/2021,band_a,4208018080
IBEDC,01/08/2021,band_b,1914798427
IBEDC,01/08/2021,band_c,1678419753
IBEDC,01/08/2021,band_d,1509731267
IBEDC,01/08/2021,band_e,1281082400
IBEDC,01/09/2021,lifeline,28784255.82
IBEDC,01/09/2021,band_a,4443965774
IBEDC,01/09/2021,band_b,2091535558
IBEDC,01/09/2021,band_c,1887780756
IBEDC,01/09/2021,band_d,1628720460
IBEDC,01/09/2021,band_e,1428178736
